"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7864","@smoke should display complete experience section with all content","smoke","Sun Oct 12 16:21:32 IST 2025","passed","Sun Oct 12 16:21:40 IST 2025","Experience Page Tests","ui\Experience.spec.ts","",""
"","30544","@smoke Verify Subheading Text","smoke","Sun Oct 12 16:22:19 IST 2025","broken","Sun Oct 12 16:22:50 IST 2025","Home Page Tests","ui\HomePage.spec.ts","",""
"","7508","@smoke verify about section is visible","smoke","Sun Oct 12 16:21:32 IST 2025","passed","Sun Oct 12 16:21:40 IST 2025","About Page Tests","ui\About.spec.ts","",""
"","4116","@smoke Verify Projects Header","smoke","Sun Oct 12 16:21:48 IST 2025","passed","Sun Oct 12 16:21:52 IST 2025","Projects Page Tests","ui\Projects.spec.ts","",""
"","1407","@smoke Verify Project Tech Stack","smoke","Sun Oct 12 16:21:54 IST 2025","passed","Sun Oct 12 16:21:55 IST 2025","Projects Page Tests","ui\Projects.spec.ts","",""
"","7756","@smoke verify contact section is visible","smoke","Sun Oct 12 16:21:32 IST 2025","passed","Sun Oct 12 16:21:40 IST 2025","Contact Page Tests","ui\Contact.spec.ts","",""
"","6138","@smoke verify skills section is visible","smoke","Sun Oct 12 16:21:42 IST 2025","passed","Sun Oct 12 16:21:49 IST 2025","Skills Page Tests","ui\Skills.spec.ts","",""
"","7071","@smoke Verify Home Page Heading","smoke","Sun Oct 12 16:21:32 IST 2025","passed","Sun Oct 12 16:21:39 IST 2025","Home Page Tests","ui\HomePage.spec.ts","",""
"","1358","@smoke Verify Project Descriptions","smoke","Sun Oct 12 16:21:52 IST 2025","passed","Sun Oct 12 16:21:54 IST 2025","Projects Page Tests","ui\Projects.spec.ts","",""
"","3664","@smoke verify skills header text","smoke","Sun Oct 12 16:21:49 IST 2025","passed","Sun Oct 12 16:21:53 IST 2025","Skills Page Tests","ui\Skills.spec.ts","",""
"","5495","@smoke verify journey section","smoke","Sun Oct 12 16:21:42 IST 2025","passed","Sun Oct 12 16:21:48 IST 2025","About Page Tests","ui\About.spec.ts","",""
"","1223","@smoke Verify Summary text","smoke","Sun Oct 12 16:22:56 IST 2025","passed","Sun Oct 12 16:22:58 IST 2025","Home Page Tests","ui\HomePage.spec.ts","",""
"","2783","@smoke Verify Resume Download","smoke","Sun Oct 12 16:22:53 IST 2025","passed","Sun Oct 12 16:22:56 IST 2025","Home Page Tests","ui\HomePage.spec.ts","",""
"","5396","@smoke Verify Projects Section is Visible","smoke","Sun Oct 12 16:21:43 IST 2025","passed","Sun Oct 12 16:21:48 IST 2025","Projects Page Tests","ui\Projects.spec.ts","",""
